{'batch_size': 1024, 'prefix_filter': None, 'max_length': 15, 'epoch_num': 20, 'try_one_batch': False, 'learning_rate': 0.001, 'device': 'cuda', 'filename': '../data/rus.txt', 'train_size': 0.8, 'embedding_size': 256, 'hidden_size': 256, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000}
{'val_loss': 3.972419261932373, 'train_loss': 2.6963491439819336, 'bleu_score': 0.013073640969359122}
{'val_loss': 3.294013738632202, 'train_loss': 1.895975947380066, 'bleu_score': 0.04500884720635881}
{'val_loss': 2.895197868347168, 'train_loss': 1.5362459421157837, 'bleu_score': 0.059407888610666454}
{'val_loss': 2.6753740310668945, 'train_loss': 1.3188139200210571, 'bleu_score': 0.06450565049965999}
{'val_loss': 2.530733823776245, 'train_loss': 1.1926774978637695, 'bleu_score': 0.07858785823145423}
{'val_loss': 2.445542097091675, 'train_loss': 1.1112103462219238, 'bleu_score': 0.08679845797714446}
{'val_loss': 2.378183603286743, 'train_loss': 1.0540543794631958, 'bleu_score': 0.09460878922997322}
{'val_loss': 2.3284997940063477, 'train_loss': 1.017136573791504, 'bleu_score': 0.10513482463987896}
{'val_loss': 2.302009105682373, 'train_loss': 0.9863795638084412, 'bleu_score': 0.10666983736535865}
{'val_loss': 2.283505439758301, 'train_loss': 0.9649632573127747, 'bleu_score': 0.10464464415948407}
{'val_loss': 2.264655113220215, 'train_loss': 0.9484898447990417, 'bleu_score': 0.10169915285807277}
{'val_loss': 2.2517950534820557, 'train_loss': 0.9349682331085205, 'bleu_score': 0.10050830708404268}
{'val_loss': 2.2399415969848633, 'train_loss': 0.9256769418716431, 'bleu_score': 0.1151451290253303}
{'val_loss': 2.2351021766662598, 'train_loss': 0.91866135597229, 'bleu_score': 0.10105303619760707}
{'val_loss': 2.2282814979553223, 'train_loss': 0.9126445055007935, 'bleu_score': 0.10248500758632115}
{'val_loss': 2.2209999561309814, 'train_loss': 0.9073391556739807, 'bleu_score': 0.10649009808311821}
{'val_loss': 2.2183656692504883, 'train_loss': 0.9062952995300293, 'bleu_score': 0.10736523754087855}
{'val_loss': 2.2152812480926514, 'train_loss': 0.9028360843658447, 'bleu_score': 0.11502770206190638}
{'val_loss': 2.214090347290039, 'train_loss': 0.8980062007904053, 'bleu_score': 0.10854418936298649}
{'val_loss': 2.2118468284606934, 'train_loss': 0.8966827988624573, 'bleu_score': 0.09572990756595331}
